D2W_D,W2D_D,D2W_S,W2D_S
-0.33494553,-0.09220096,0.16131173,-0.0002851704
-0.31284916,-0.16242482,0.48145202,0.19921309
-0.11375451,-0.42544812,-0.010962248,0.1529443
-0.028181817,-0.15631984,0.24448368,0.20777129
-0.2395238,-0.19757023,0.33168438,0.30326316
-0.08518358,-0.1951333,0.105910294,0.2415401
-0.2529041,-0.057457626,-0.036345664,0.022243638
-0.22760588,-0.038862664,0.14415945,0.07962587
-0.07716692,0.045110017,0.0015196064,0.025420621
-0.13033068,0.12496746,0.0057886387,-0.0745549
0.10948212,-0.06371978,0.282721,0.1865856
-0.044359557,-0.23857346,0.4529441,0.60381776
-0.03957009,-0.14074942,0.21277955,0.36748663
-0.1801171,-0.3963024,0.275846,0.05401101
-0.19743818,-0.3743799,0.311947,0.4827826
-0.05299107,-0.2985414,-0.0018868665,0.12965442
-0.3064977,-0.21031916,0.09564619,0.07894843
-0.113685444,-0.17198527,-0.011718968,0.028062543
-0.17773423,-0.3473342,0.27484682,0.1714011
0.22124475,-0.2258904,0.10687265,0.010130801
-0.24987936,-0.116281584,0.19225913,0.17206715
-0.31600875,0.17594817,0.24596445,0.40073267
0.052823864,-0.3468802,0.26426333,0.27677175
-0.22384751,0.03776443,0.08247724,0.17819785
-0.14475387,-0.08247557,0.2744583,0.047128294
-0.22531286,-0.21559528,0.06481495,-0.10963925
-0.06799207,-0.27632838,-0.11150297,-0.13559261
-0.23938936,-0.24216661,-0.05399322,-0.15658404
0.0005270615,0.22633037,0.011714466,-0.07377529
0.013583228,0.054787472,0.011493878,0.09947004
-0.1533106,-0.13630036,-0.08861039,0.06852225
-0.14807004,0.12118708,0.08151276,-0.015706107
-0.3335,-0.032522935,0.1906513,-0.020803075
0.016730465,-0.1848579,0.11357826,-0.034786634
-0.088479415,7.350743e-05,0.14374733,0.085960306
-0.07336702,-0.1779759,0.13447058,0.20462999
-0.054301493,0.037492305,0.11006488,0.017980048
-0.03362379,-0.18976754,-0.08907162,-0.09759937
0.0843634,0.038672112,0.2677603,0.32251373
0.050127044,0.042292744,0.28267276,0.15141782
-0.21417603,-0.11483535,0.031247154,0.04727791
-0.22618917,-0.19913435,0.065505065,0.12956075
-0.23056981,-0.15058059,0.23494354,0.07642248
-0.1487023,0.106820084,-0.07972,-0.13216394
-0.3680683,0.20772898,0.0014125454,-0.12753004
-0.36017108,0.009169474,0.13295825,-0.20923004
-0.44138524,-0.104580335,-0.030144695,-0.19727898
-0.49895847,-0.20425984,0.03465315,0.06571212
-0.2561158,0.05916127,0.13088861,-0.095692545
0.073237225,0.05051118,-0.028959738,-0.06482719
-0.12166666,-0.08491804,0.014243046,0.26486856
-0.38426387,-0.095545754,0.14756744,0.13754337
-0.026264105,-0.13992223,0.18109566,-0.029351778
-0.36366242,-0.30581054,0.07927045,0.31101045
-0.20842206,0.08279711,-0.05020177,0.13139291
-0.49300787,-0.083651446,-0.19834396,-0.032184485
-0.30624157,-0.056333452,-0.17886311,0.078051135
-0.36091596,-0.2757092,0.33894813,0.53060603
-0.072036415,-0.18964815,0.084022366,0.031935148
-0.026446402,-0.25038195,-0.0015265933,-0.044353686
0.019024767,-0.19068965,0.14692423,-0.05328979
-0.09892218,-0.3336537,-0.06562594,0.08167842
-0.2971576,-0.22971264,-0.060668617,-0.047077667
-0.2218945,-0.10011894,-0.041673075,-0.02165246
0.16323307,-0.024291242,0.10532443,-0.04463949
0.5219217,-0.07890338,0.22762536,0.23534834
-0.22845912,-0.16286908,0.27733728,0.36180788
-0.055838645,-0.10798583,0.07522114,0.17928232
0.5368443,-0.17201534,0.084384404,0.17622955
0.044010453,-0.15754856,-0.12165178,-0.025878845
0.32352036,0.020837989,0.06517176,0.084376134
-0.09625,-0.15368105,0.06819928,-0.10483335
-0.25752687,0.054397166,0.03781782,-0.07966983
-0.2364986,-0.16892457,0.078059934,0.09640812
-0.3148589,-0.08274946,-0.011004736,0.14680311
-0.2668984,-0.20373863,-0.119334646,0.055015523
-0.25474492,-0.06015726,-0.0028500678,-0.055403493
-0.18711433,-0.039985936,-0.1020829,-0.056240935
0.0043106377,-0.018457236,-0.12837537,-0.072290204
-0.2738843,-0.2541011,0.044447888,0.35053933
-0.3434573,-0.33855045,0.2930498,0.15156858
-0.16864505,-0.15080087,0.10072531,0.39724714
-0.2609859,0.13602445,0.11564946,0.41793838
-0.4710158,-0.018206785,-0.057355046,0.11376444
-0.263115,-0.22052291,-0.025760854,0.058838278
